TeamName,Season,TeamID,FirstD1Season,LastD1Season,Seed,rank,team,conference,adj_em,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed
Arizona St,2014,1113,1985,2019,Y10,39,Arizona St.,P12,14.82,0.003,180,7.5,47,108.6,53,101.1,41,-2.6,234,10
Arizona St,2018,1113,1985,2019,X11a,49,Arizona St.,P12,14.13,-0.083,340,5.48,71,107.4,77,101.9,64,0.94,138,11
Ark Little Rock,2011,1114,1985,2019,Y16a,215,Arkansas Little Rock,SB,-4.53,0.032,98,-3.85,251,102.2,211,106.1,293,0.85,129,16
Ark Little Rock,2016,1114,1985,2019,X12,56,Arkansas Little Rock,SB,13.24,0.056,52,-0.77,167,104.2,188,104.9,155,-0.2,171,12
Ark Pine Bluff,2010,1115,1999,2019,X16a,231,Arkansas Pine Bluff,SWAC,-6.44,0.053,50,-7.62,300,96.4,324,104,213,17.98,1,16
Arkansas,2006,1116,1985,2019,X08,20,Arkansas,SEC,18.47,-0.062,293,6.35,58,106,62,99.6,57,-4.78,274,8
Arkansas,2007,1116,1985,2019,W12,42,Arkansas,SEC,16.62,-0.021,233,10.1,13,110.3,10,100.2,32,1.28,119,12
Arkansas,2008,1116,1985,2019,W09,40,Arkansas,SEC,15.19,0.008,153,7.19,52,108.4,25,101.2,82,-0.61,164,9
Arkansas,2015,1116,1985,2019,Z05,29,Arkansas,SEC,16.44,0.045,72,6.09,64,107.2,71,101.1,59,-3.44,263,5
Arkansas,2017,1116,1985,2019,Z08,35,Arkansas,SEC,16.25,0.086,9,8.37,45,108.6,59,100.2,28,-1.55,202,8
Arkansas,2018,1116,1985,2019,W07,44,Arkansas,SEC,14.69,0.059,56,9.9,25,110.5,28,100.6,27,0.87,141,7
Auburn,2003,1120,1985,2019,W10,46,Auburn,SEC,13.63,0.051,52,8.22,39,106,53,97.8,27,-4.71,267,10
Auburn,2018,1120,1985,2019,X04,23,Auburn,SEC,18.69,0.034,94,7.52,57,108.8,58,101.3,51,-1.86,211,4
Austin Peay,2003,1122,1985,2019,W13,135,Austin Peay,OVC,2.65,0.171,1,-0.97,170,104.2,108,105.2,279,7.41,27,13
Austin Peay,2008,1122,1985,2019,Y15,168,Austin Peay,OVC,-0.3,0.086,16,-6.35,291,102.5,204,108.8,333,5.19,42,15
Austin Peay,2016,1122,1985,2019,Y16,217,Austin Peay,OVC,-5.1,0.061,43,-2.92,213,105.1,149,108,292,-0.19,170,16
BYU,2003,1140,1985,2019,X12,24,BYU,MWC,17.68,-0.031,247,5.49,74,107.4,9,101.9,130,5.2,52,12
BYU,2004,1140,1985,2019,X12,35,BYU,MWC,15.64,0.02,116,7.13,37,108.1,19,101,78,6.41,32,12
BYU,2007,1140,1985,2019,X08,46,BYU,MWC,16.11,0.001,176,4.24,88,106.8,86,102.5,100,-0.3,158,8
BYU,2008,1140,1985,2019,Z08,35,BYU,MWC,15.76,0.027,106,1.47,129,104.2,139,102.7,139,-4.23,276,8
BYU,2009,1140,1985,2019,Z08,21,BYU,MWC,20.1,-0.046,285,4.57,79,105.4,76,100.9,82,0.39,145,8
BYU,2010,1140,1985,2019,Z07,10,BYU,MWC,23.27,0.012,130,3.88,98,104.9,96,101,99,-0.03,148,7
BYU,2011,1140,1985,2019,Y03,12,BYU,MWC,23.22,0.055,46,7.04,43,106.8,49,99.8,34,3.59,62,3
BYU,2012,1140,1985,2019,Z14a,50,BYU,WCC,12.79,0.02,123,1.31,125,105.1,72,103.8,188,0.38,145,14
BYU,2014,1140,1985,2019,Z10,49,BYU,WCC,13.77,-0.004,194,6.59,60,109.6,26,103,98,8.43,17,10
BYU,2015,1140,1985,2019,Z11a,28,BYU,WCC,16.69,-0.055,307,3.96,83,107,74,103,105,3.78,51,11
Baylor,2008,1124,1985,2019,Z11,41,Baylor,B12,14.82,-0.028,242,7.58,46,106.9,64,99.3,25,-4.83,286,11
Baylor,2010,1124,1985,2019,X03,8,Baylor,B12,24.95,-0.021,234,10.59,8,108.3,13,97.7,14,-2.79,237,3
Baylor,2012,1124,1985,2019,Y03,13,Baylor,B12,21.29,0.059,40,9.61,7,108.1,10,98.5,8,-2.7,236,3
Baylor,2014,1124,1985,2019,Z06,26,Baylor,B12,19.39,0.012,157,10.31,7,111,3,100.6,20,-0.36,171,6
Baylor,2015,1124,1985,2019,Z03,14,Baylor,B12,22.14,-0.035,268,10.22,13,108.9,22,98.7,6,-0.51,172,3
Baylor,2016,1124,1985,2019,Z05,24,Baylor,B12,19.06,-0.012,211,11.21,11,109.7,34,98.4,2,-3.12,257,5
Baylor,2017,1124,1985,2019,W03,13,Baylor,B12,24.23,0.023,126,13.08,5,111.7,6,98.6,6,1.67,110,3
Belmont,2006,1125,2000,2019,X15,165,Belmont,ASun,-0.73,0.024,108,-8.62,311,99.7,275,108.4,326,5.97,42,15
Belmont,2007,1125,2000,2019,W15,121,Belmont,ASun,4.38,0.022,125,-6.74,286,100,304,106.8,246,2.22,96,15
Belmont,2008,1125,2000,2019,Z15,129,Belmont,ASun,3.53,0.075,25,-5.21,262,100.9,265,106.1,268,0.51,133,15
Belmont,2011,1125,2000,2019,Y13,23,Belmont,ASun,18.48,-0.006,196,-4.71,270,100.5,279,105.2,245,-1.05,184,13
Belmont,2012,1125,2000,2019,X14,25,Belmont,ASun,16.96,-0.017,214,-0.32,162,103.4,148,103.7,182,4.69,44,14
Belmont,2013,1125,2000,2019,Z11,43,Belmont,OVC,14.92,0.013,144,-0.74,157,103.8,118,104.6,244,5.39,33,11
Belmont,2015,1125,2000,2019,W15,142,Belmont,OVC,2.27,0.065,41,-3.33,225,102.4,250,105.7,222,-1.68,209,15
Binghamton,2009,1127,2002,2019,W15,177,Binghamton,AE,-0.98,0.13,3,-5.64,282,99.6,281,105.3,259,-4.08,253,15
Boise St,2008,1129,1985,2019,W14,126,Boise St.,WAC,3.89,0.085,17,-2.64,212,103.3,177,105.9,252,-3.36,256,14
Boise St,2013,1129,1985,2019,Z13a,54,Boise St.,MWC,13.54,0.004,165,6.74,49,105.9,45,99.2,52,-1.38,205,13
Boise St,2015,1129,1985,2019,W11a,47,Boise St.,MWC,13.85,0.009,165,0.94,121,104.8,116,103.9,133,-0.31,166,11
Boston College,2002,1130,1985,2019,X11,71,Boston College,BE,9.97,0.04,75,6.41,58,105.5,102,99.1,22,-2.78,230,11
Boston College,2004,1130,1985,2019,Z06,37,Boston College,BE,15.42,0.045,64,7.21,35,106.2,73,99,18,-2.14,218,6
Boston College,2005,1130,1985,2019,X04,25,Boston College,BE,18.3,0.078,24,6.6,51,105.8,81,99.2,28,-4.21,262,4
Boston College,2006,1130,1985,2019,Y04,18,Boston College,ACC,18.65,0.024,106,7.43,41,107.1,34,99.7,60,-5.69,287,4
Boston College,2007,1130,1985,2019,W07,44,Boston College,ACC,16.18,0.026,118,10.36,11,110.7,5,100.4,38,-2.41,210,7
Boston College,2009,1130,1985,2019,Y07,74,Boston College,ACC,11.2,0.038,74,6.4,56,106.6,51,100.2,67,-5.57,292,7
Boston Univ,2002,1131,1985,2019,Z16,194,Boston University,AE,-2.74,0.102,7,-9.18,299,97.7,305,106.9,284,0.25,154,16
Boston Univ,2011,1131,1985,2019,Z16,170,Boston University,AE,-0.5,0.045,65,-4.62,268,100.5,282,105.1,234,0.49,147,16
Bradley,2006,1133,1985,2019,X13,25,Bradley,MVC,16.5,-0.019,213,6.94,46,105.4,74,98.5,19,-2.22,217,13
Bucknell,2005,1137,1985,2019,Z14,95,Bucknell,Pat,6.69,0.063,40,-2.34,198,101.4,210,103.7,197,2.28,97,14
Bucknell,2006,1137,1985,2019,X09,58,Bucknell,Pat,12.56,0.092,13,-3.17,214,100.2,265,103.4,167,7.18,32,9
Bucknell,2011,1137,1985,2019,X14,96,Bucknell,Pat,6.57,0.068,28,-3.41,239,102.7,187,106.1,299,1.56,109,14
Bucknell,2013,1137,1985,2019,W11,58,Bucknell,Pat,12.72,-0.014,220,-1.72,178,102.4,160,104.1,223,2.78,84,11
Bucknell,2017,1137,1985,2019,X13,76,Bucknell,Pat,9.38,0.006,174,-3.62,241,101.4,298,105,145,0.89,129,13
Bucknell,2018,1137,1985,2019,X14,97,Bucknell,Pat,7.31,0.006,160,-4.35,268,102.8,260,107.1,264,5.79,31,14
Buffalo,2015,1138,1992,2019,Y12,58,Buffalo,MAC,11.87,0.001,182,1.83,110,106,90,104.2,149,0.81,130,12
Buffalo,2016,1138,1992,2019,Y14,138,Buffalo,MAC,2.95,0.044,76,0.97,131,106.5,95,105.6,177,2,107,14
Buffalo,2018,1138,1992,2019,Y13,67,Buffalo,MAC,11.53,0.006,158,-0.06,140,105.1,145,105.2,147,3.87,62,13
Butler,2003,1139,1985,2019,W12,31,Butler,Horz,16.09,0.073,24,4.1,91,104.5,93,100.4,95,1.83,112,12
Butler,2007,1139,1985,2019,Y05,15,Butler,Horz,21.45,0.016,145,4.77,85,106.6,94,101.8,79,6.61,35,5
Butler,2008,1139,1985,2019,W07,20,Butler,Horz,19.97,0.002,161,2.79,110,104.3,133,101.5,90,5.43,40,7
Butler,2009,1139,1985,2019,X09,38,Butler,Horz,15.78,-0.014,206,2.51,105,103,159,100.5,73,6.15,39,9
Butler,2010,1139,1985,2019,Z05,12,Butler,Horz,22.45,0.032,91,6.85,60,106.7,45,99.9,68,11.11,4,5
Butler,2011,1139,1985,2019,Y08,36,Butler,Horz,16.46,0.033,94,6.11,57,106.4,61,100.3,54,6.67,26,8
Butler,2013,1139,1985,2019,W06,42,Butler,A10,15.41,0.087,14,7.53,30,106.8,21,99.3,53,4.18,57,6
Butler,2015,1139,1985,2019,Y06,20,Butler,BE,20.09,-0.023,233,9.72,17,110.6,4,100.9,48,0.69,133,6
Butler,2016,1139,1985,2019,X09,30,Butler,BE,17.27,-0.009,201,8.1,47,108.5,62,100.4,25,-4.1,282,9
Butler,2017,1139,1985,2019,Z04,25,Butler,BE,20.76,0.002,185,10.81,22,110.8,17,100,25,5.12,40,4
Butler,2018,1139,1985,2019,W10,20,Butler,BE,19.05,-0.047,290,11.21,7,112,1,100.8,34,0.11,154,10
C Michigan,2003,1141,1985,2019,Z11,70,Central Michigan,MAC,10.01,0.137,3,2.06,122,104.3,104,102.3,152,2.87,89,11
CS Bakersfield,2016,1167,2008,2019,Z15,110,Cal St. Bakersfield,WAC,6.26,-0.003,179,-6.5,302,100.6,316,107.1,242,-2.99,249,15
CS Fullerton,2008,1168,1985,2019,X14,88,Cal St. Fullerton,BW,8.47,-0.01,195,-3.95,236,101.5,243,105.5,230,-3.01,244,14
CS Fullerton,2018,1168,1985,2019,W15,162,Cal St. Fullerton,BW,0.62,0.097,14,-1.2,167,103.8,204,105,139,2.76,83,15
CS Northridge,2009,1169,1991,2019,Z15,108,Cal St. Northridge,BW,5.18,-0.045,283,0.26,154,104,123,103.7,194,5.14,50,15
Cal Poly SLO,2014,1142,1995,2019,Y16a,176,Cal Poly,BW,-0.82,-0.044,276,2.38,111,107.4,89,105,158,10.19,9,16
California,2002,1143,1985,2019,Y06,37,California,P10,16.03,0.088,12,7.89,42,108.1,35,100.2,53,-5.85,285,6
California,2003,1143,1985,2019,W08,47,California,P10,13.59,0.061,42,7.06,57,106.7,30,99.6,81,0.3,147,8
California,2006,1143,1985,2019,W07,47,California,P10,13.68,0.021,110,7.59,40,106.8,41,99.3,44,-0.77,172,7
California,2009,1143,1985,2019,Z07,30,California,P10,17.37,0.001,162,9.17,33,108,30,98.8,30,-3.54,246,7
California,2010,1143,1985,2019,X08,14,California,P10,22.15,-0.043,282,9.03,25,106.5,53,97.5,8,8.46,16,8
California,2012,1143,1985,2019,X12a,29,California,P12,16.37,-0.007,192,3.61,89,104.5,98,100.9,79,-1.83,210,12
California,2013,1143,1985,2019,W12,56,California,P12,13.11,0.041,77,8.35,21,106,43,97.6,10,2.12,101,12
California,2016,1143,1985,2019,Y04,28,California,P12,18.32,-0.053,300,7.65,52,109.4,40,101.8,70,-2.58,234,4
Central Conn,2002,1148,1987,2019,Y14,150,Central Connecticut,NEC,0.93,0.137,3,-11.95,318,97.6,307,109.5,323,-4.98,271,14
Central Conn,2007,1148,1987,2019,X16,177,Central Connecticut,NEC,-2.24,0.06,42,-8.44,314,100.4,294,108.8,324,-5.1,281,16
Charlotte,2002,1150,1985,2019,Y09,40,Charlotte,CUSA,15.73,-0.008,185,9.24,22,107.5,43,98.3,9,6.49,36,9
Charlotte,2004,1150,1985,2019,Y09,43,Charlotte,CUSA,14.25,0.015,131,5.72,64,105,109,99.3,22,2.66,83,9
Charlotte,2005,1150,1985,2019,Z07,54,Charlotte,CUSA,12.15,0.042,72,3.68,100,104.9,114,101.2,92,-1.74,210,7
Chattanooga,2005,1151,1985,2019,W15,165,Chattanooga,SC,0.03,0.059,47,-3.78,238,101.1,223,104.9,245,5.69,43,15
Chattanooga,2009,1151,1985,2019,Z16,213,Chattanooga,SC,-4.04,0.041,69,-3.37,235,102.1,200,105.5,270,12.4,7,16
Chattanooga,2016,1151,1985,2019,W12,109,Chattanooga,SC,6.5,0.132,4,-3.18,219,104.4,174,107.6,274,-0.04,167,12
Cincinnati,2002,1153,1985,2019,Z01,2,Cincinnati,CUSA,30.19,0.002,165,6.58,57,106.5,66,100,44,3.48,80,1
Cincinnati,2003,1153,1985,2019,Z08,36,Cincinnati,CUSA,14.69,-0.069,297,7.35,50,106.6,33,99.3,67,3.74,67,8
Cincinnati,2004,1153,1985,2019,W04,16,Cincinnati,CUSA,21.56,0.003,163,5.62,66,105.6,90,100,41,-0.28,172,4
Cincinnati,2005,1153,1985,2019,Y07,19,Cincinnati,CUSA,20.43,-0.006,177,5.48,71,106.1,71,100.6,77,0.62,145,7
Cincinnati,2011,1153,1985,2019,X06,21,Cincinnati,BE,19.41,0.04,80,6.23,55,106.8,48,100.6,64,-9.35,334,6
Cincinnati,2012,1153,1985,2019,W06,31,Cincinnati,BE,16.03,0.023,115,6.9,39,105.7,61,98.8,10,-9.17,338,6
Cincinnati,2013,1153,1985,2019,Y10,40,Cincinnati,BE,15.57,-0.012,215,7.31,35,105.6,66,98.3,23,-5.68,304,10
Cincinnati,2014,1153,1985,2019,W05,27,Cincinnati,Amer,19.24,0.036,97,4.72,92,107.3,93,102.6,88,-4.57,294,5
Cincinnati,2015,1153,1985,2019,Y08,43,Cincinnati,Amer,14.15,-0.016,220,3.39,87,104.9,114,101.5,68,1.69,108,8
Cincinnati,2016,1153,1985,2019,Z09,32,Cincinnati,Amer,17.06,-0.067,322,5.2,77,107.3,79,102.1,75,-1.21,197,9
Cincinnati,2017,1153,1985,2019,Z06,23,Cincinnati,Amer,22.18,0.026,116,4.17,80,107.1,75,103,94,-0.47,167,6
Cincinnati,2018,1153,1985,2019,Y02,4,Cincinnati,Amer,26.6,-0.019,230,3.46,87,106.9,89,103.4,90,-4.21,294,2
Clemson,2008,1155,1985,2019,X05,16,Clemson,ACC,22.03,-0.044,280,9.53,15,109.3,5,99.8,42,0.31,137,5
Clemson,2009,1155,1985,2019,X07,23,Clemson,ACC,19.62,-0.024,236,6.19,60,105.4,77,99.2,43,-4.45,266,7
Clemson,2010,1155,1985,2019,W07,25,Clemson,ACC,19.28,-0.041,277,8.76,31,106.3,61,97.6,11,-2.85,239,7
Clemson,2011,1155,1985,2019,W12a,25,Clemson,ACC,18.16,-0.087,329,6.99,45,106.7,53,99.7,33,-2.81,230,12
Clemson,2018,1155,1985,2019,X05,14,Clemson,ACC,21.65,-0.009,203,10.22,20,110.6,26,100.4,23,-1.91,214,5
Cleveland St,2009,1156,1985,2019,Y13,66,Cleveland St.,Horz,11.96,0.009,145,3.76,88,104.6,100,100.9,81,7.07,33,13
Coastal Car,2014,1157,1987,2019,W16,221,Coastal Carolina,BSth,-4.98,0.04,89,-8.1,332,102.1,297,110.2,342,-4.94,301,16
Coastal Car,2015,1157,1987,2019,Z16,140,Coastal Carolina,BSth,2.38,0.006,171,-6.45,319,102.2,261,108.6,337,-1.05,187,16
Col Charleston,2018,1158,1992,2019,X13,115,College of Charleston,CAA,5.16,0.035,91,-4.06,257,104.8,153,108.9,332,-7.64,337,13
Colorado,2003,1160,1985,2019,X10,34,Colorado,B12,15.27,0.001,162,9.02,23,106.9,23,97.9,30,0.22,151,10
Colorado,2012,1160,1985,2019,Y11,81,Colorado,P12,8.89,0.081,19,5.35,59,105.7,57,100.4,58,0.06,154,11
Colorado,2013,1160,1985,2019,W10,45,Colorado,P12,14.62,0.029,104,9.15,15,107.3,13,98.1,18,3.8,67,10
Colorado,2014,1160,1985,2019,X08,67,Colorado,P12,11.2,0.12,3,8.74,26,109.5,27,100.8,26,1.71,110,8
Colorado,2016,1160,1985,2019,Y08,57,Colorado,P12,12.91,0.015,136,7.51,54,109.5,37,102,74,-2.15,227,8
Colorado St,2003,1161,1985,2019,Z14,104,Colorado St.,MWC,5.96,0.031,88,4.39,89,104.7,83,100.3,93,-3.45,235,14
Colorado St,2012,1161,1985,2019,Z11,88,Colorado St.,MWC,8.17,0.075,21,4.39,70,104.7,87,100.3,56,0.85,131,11
Colorado St,2013,1161,1985,2019,Y08,22,Colorado St.,MWC,19.12,0.02,133,7.17,37,105.8,57,98.6,32,-0.49,173,8
Connecticut,2002,1163,1985,2019,W02,18,Connecticut,BE,19.36,0.063,31,8.19,34,107.5,44,99.3,26,1.73,118,2
Connecticut,2003,1163,1985,2019,X05,22,Connecticut,BE,19.54,0.005,152,8.75,29,107.3,10,98.6,57,-3.47,236,5
Connecticut,2004,1163,1985,2019,X02,2,Connecticut,BE,28.3,0.012,140,8.93,18,107.7,27,98.8,14,-2.05,216,2
Connecticut,2005,1163,1985,2019,Z02,15,Connecticut,BE,21.94,-0.031,246,8.52,25,108.5,12,100,52,-1.04,191,2
Connecticut,2006,1163,1985,2019,Z01,4,Connecticut,BE,25.44,0.077,26,8.98,18,107.4,29,98.4,16,-3.8,252,1
Connecticut,2008,1163,1985,2019,Z04,27,Connecticut,BE,18.9,-0.001,170,7.67,45,107.7,45,100,49,-1.27,179,4
Connecticut,2009,1163,1985,2019,Z01,2,Connecticut,BE,29.25,0.024,107,10.37,13,109,11,98.6,24,-1.68,200,1
Connecticut,2011,1163,1985,2019,X03,10,Connecticut,BE,23.93,0.048,58,12.78,2,110.1,8,97.4,2,-0.77,179,3
Connecticut,2012,1163,1985,2019,Y09,38,Connecticut,BE,14.53,-0.032,255,8.25,19,107.3,21,99.1,22,-0.46,172,9
Connecticut,2014,1163,1985,2019,W07,15,Connecticut,Amer,22.13,0.08,23,9.43,13,109.7,24,100.3,11,0.91,134,7
Connecticut,2016,1163,1985,2019,Y09,26,Connecticut,Amer,18.71,-0.036,270,6.17,71,107.6,72,101.4,56,-0.91,187,9
Coppin St,2008,1164,1986,2019,W16a,298,Coppin St.,MEAC,-14.41,0.065,36,-7.38,306,98.1,321,105.5,229,7.87,18,16
Cornell,2008,1165,1985,2019,Y14,123,Cornell,Ivy,4.41,0.086,15,-6.93,298,99.1,314,106,257,-3.59,264,14
Cornell,2009,1165,1985,2019,Z14,107,Cornell,Ivy,5.23,-0.005,174,-5.58,281,99,291,104.6,232,-0.5,175,14
Cornell,2010,1165,1985,2019,W12,46,Cornell,Ivy,15.92,0.068,36,-0.66,173,101.2,218,101.9,130,4.12,65,12
Creighton,2002,1166,1985,2019,X12,59,Creighton,MVC,11.82,0.029,99,1.39,129,105,113,103.7,166,0.93,138,12
Creighton,2003,1166,1985,2019,Z06,26,Creighton,MVC,17.54,0.026,99,-0.19,155,102.5,159,102.7,168,-0.51,164,6
Creighton,2005,1166,1985,2019,W10,39,Creighton,MVC,14.33,-0.033,248,4.44,89,104.9,112,100.4,68,-1.69,209,10
Creighton,2007,1166,1985,2019,X10,28,Creighton,MVC,18.53,-0.023,236,8.84,32,108.3,49,99.4,8,4.1,66,10
Creighton,2012,1166,1985,2019,X08,28,Creighton,MVC,16.47,0.079,20,3.79,84,104.9,79,101.1,87,-0.47,173,8
Creighton,2013,1166,1985,2019,Y07,15,Creighton,MVC,21.75,-0.009,208,5.73,67,105.5,74,99.7,65,1.63,113,7
Creighton,2014,1166,1985,2019,Z03,17,Creighton,BE,21.72,0.024,128,7.5,48,108.5,58,101,35,1.31,122,3
Creighton,2017,1166,1985,2019,Y06,28,Creighton,BE,18.83,0.004,181,8.97,39,110.3,27,101.3,57,-1.24,192,6
Creighton,2018,1166,1985,2019,Y08,30,Creighton,BE,16.91,-0.028,259,9.4,33,110.8,21,101.4,54,-4.2,292,8
Davidson,2002,1172,1985,2019,Z13,119,Davidson,SC,3.7,0.142,1,1.79,125,104.5,131,102.7,123,9.43,13,13
Davidson,2006,1172,1985,2019,Y15,122,Davidson,SC,4.86,-0.025,223,-3.3,217,101.4,227,104.7,213,9.24,17,15
Davidson,2007,1172,1985,2019,Y13,61,Davidson,SC,13.32,0.067,33,-1.7,182,103.2,193,104.9,168,4.64,55,13
Davidson,2008,1172,1985,2019,X10,11,Davidson,SC,23.61,-0.036,260,3.36,102,105.2,105,101.8,97,14.93,1,10
Davidson,2012,1172,1985,2019,Z13,71,Davidson,SC,10.65,0.008,151,-3,230,101.5,239,104.5,229,8.78,11,13
Davidson,2013,1172,1985,2019,W14,66,Davidson,SC,11.36,-0.002,186,-5.09,269,100.3,266,105.4,283,6.42,23,14
Davidson,2015,1172,1985,2019,X10,36,Davidson,A10,15,0.056,53,3.16,93,105.3,108,102.2,87,-3.78,274,10
Davidson,2018,1172,1985,2019,Y12,43,Davidson,A10,14.7,-0.063,318,2.11,104,105.6,116,103.5,91,1.33,121,12
